0.4099719296464137
747001648	0.5109552763712634
0038.png	0.24789689481258392	0.848992647364267
0251.png	0.25044500827789307	0.1859818747036198
a32.png	0.25058743357658386	0.2357698337550254
0039.png	0.25122910737991333	0.6998667595682521
0236.png	0.25180134177207947	0.08187861352400637
0045.png	0.2519541084766388	0.7141621845262722
0265.png	0.2555560767650604	0.025122467262642244
0057.png	0.25662127137184143	0.3573798890242252
0069.png	0.2584697902202606	0.4529688825780533
0067.png	0.2589292526245117	0.4082687941730914
0036.png	0.26105815172195435	0.727659733063885
0310.png	0.26107004284858704	0.3987547069417158
0241.png	0.2617117762565613	0.2131742888082778
a11.png	0.2632765471935272	0.4524160936918776
0041.png	0.26411810517311096	0.7462919594067136
0263.png	0.2714879512786865	0.5277930951003994
0420.png	0.27162954211235046	0.6329771511997635
0290.png	0.2736140489578247	0.46482425261388116
0163.png	0.27434951066970825	0.4927173021399182
0422.png	0.274742066860199	0.7057493885124687
0300.png	0.27697235345840454	0.6258673721795617
0044.png	0.27756062150001526	0.7373172706061616
0171.png	0.27916380763053894	0.39770853802727774
0094.png	0.28018635511398315	0.18568453096210846
0076.png	0.28327810764312744	0.8849712124886602
0426.png	0.2899322509765625	0.35854881455483134
0204.png	0.29188215732574463	0.16012779815288522
0289.png	0.2925223708152771	0.21823858815543865
0406.png	0.2952210605144501	0.3250377145012257
0269.png	0.2980872392654419	0.14107392661142795
0423.png	0.29923588037490845	0.3595466005288294
0081.png	0.29934486746788025	0.4843227343849348
0271.png	0.3016469478607178	0.11494567698347485
0270.png	0.303005188703537	0.032871028796903234
a46.png	0.3077894449234009	0.5822879273298079
0043.png	0.3104868233203888	0.7449862351220867
0291.png	0.31479355692863464	0.6135574482024404
0412.png	0.31580376625061035	0.4162766553508454
0273.png	0.317719966173172	0.41413864775644943
a45.png	0.31873562932014465	0.23605967184622706
0011.png	0.32218626141548157	0.3799197966034288
0111.png	0.32317933440208435	0.282054656922171
0425.png	0.32403963804244995	0.5376878622247504
0009.png	0.3240826427936554	0.10064270724029381
0249.png	0.3351137042045593	0.4769862698179119
a8.png	0.33654963970184326	0.32374065193655116
0301.png	0.34964895248413086	0.632877820731817
a9.png	0.3531220853328705	0.3480474193981025
0242.png	0.3551560640335083	0.2643210415003662
0046.png	0.3638496994972229	0.5363216680301081
0432.png	0.36725494265556335	0.37872606999828473
0066.png	0.3681056499481201	0.6334475962672237
0244.png	0.3713999390602112	0.25940876105547017
0293.png	0.3941549062728882	0.2969440812479095
0104.png	1000	0.0
0105.png	1000	0.0
